timeSec,value
0,0.008029
0.0083,0.008467
0.0167,-0.003623
0.025,0.011477
0.0333,0.007915
0.0417,-0.002122
0.05,-0.01725
0.0583,0.007978
0.0667,-0.010075
0.075,-0.005194
0.0833,0.000648
0.0917,0.014062
0.1,0.042895
0.1083,0.031419
0.1167,0.059569
0.125,0.06668
0.1333,0.078252
0.1417,0.084979
0.15,0.065499
0.1583,0.050568
0.1667,0.067257
0.175,0.045667
0.1833,0.035616
0.1917,0.009228
0.2,-0.001542
0.2083,-0.005592
0.2167,0.014084
0.225,0.0149
0.2333,0.007082
0.2417,-0.017361
0.25,0.00083
0.2583,-0.036645
0.2667,-0.125307
0.275,-0.120005
0.2833,0.203766
0.2917,0.697605
0.3,0.908163
0.3083,0.703407
0.3167,0.307783
0.325,0.096254
0.3333,0.013962
0.3417,-0.012615
0.35,0.006476
0.3583,-0.009871
0.3667,0.000824
0.375,0.00154
0.3833,-0.006248
0.3917,-0.012601
0.4,-0.006094
0.4083,0.017592
0.4167,0.022955
0.425,0.021922
0.4333,0.037294
0.4417,0.044936
0.45,0.060577
0.4583,0.087255
0.4667,0.107668
0.475,0.106277
0.4833,0.15776
0.4917,0.155086
0.5,0.16809
0.5083,0.183849
0.5167,0.190093
0.525,0.177705
0.5333,0.163642
0.5417,0.129699
0.55,0.112459
0.5583,0.096415
0.5667,0.077262
0.575,0.074466
0.5833,0.024677
0.5917,0.047149
0.6,0.024288
0.6083,0.002486
0.6167,0.022035
0.625,0.017186
0.6333,-0.010319
0.6417,-0.008696
0.65,-0.015123
0.6583,-0.015906
0.6667,0.004017
0.675,0.012984
0.6833,-0.010599
0.6917,0.003681
0.7,-0.008626
0.7083,0.010163
0.7167,-0.016308
0.725,-0.007297
0.7333,0.016289
0.7417,0.016996
0.75,0.004225
0.7583,0.012721
0.7667,0.00056
0.775,-0.015442
0.7833,-0.007428
0.7917,-0.010372
0.8,-0.007716
0.8083,-0.008347
0.8167,0.006344
0.825,-0.003539
0.8333,0.012291
0.8417,-0.011408
0.85,0.012032
0.8583,-0.005089
0.8667,-0.008887
0.875,-0.015432
0.8833,-0.002075
0.8917,0.019328
0.9,0.01844
0.9083,0.016938
0.9167,-0.01568
0.925,-0.004254
