timeSec,value
0,0.024958
0.0083,-0.000234
0.0167,0.022024
0.025,0.021762
0.0333,0.022997
0.0417,0.008009
0.05,0.027187
0.0583,0.012729
0.0667,-0.001552
0.075,0.005703
0.0833,0.049609
0.0917,0.062189
0.1,0.076405
0.1083,0.08355
0.1167,0.073985
0.125,0.041573
0.1333,0.045965
0.1417,0.006318
0.15,0.015553
0.1583,0.011809
0.1667,0.007992
0.175,0.026616
0.1833,0.005187
0.1917,-0.016126
0.2,-0.162044
0.2083,0.1081
0.2167,0.782058
0.225,0.86694
0.2333,0.339421
0.2417,0.046948
0.25,0.008374
0.2583,0.014538
0.2667,0.006502
0.275,0.010247
0.2833,0.010899
0.2917,-0.02135
0.3,0.021489
0.3083,0.014503
0.3167,0.036473
0.325,0.028295
0.3333,0.068912
0.3417,0.075714
0.35,0.093425
0.3583,0.139122
0.3667,0.17195
0.375,0.204024
0.3833,0.172808
0.3917,0.153103
0.4,0.157502
0.4083,0.135385
0.4167,0.090888
0.425,0.032197
0.4333,0.055006
0.4417,0.00783
0.45,0.031614
0.4583,0.021493
0.4667,0.02447
0.475,0.01975
0.4833,0.012354
0.4917,-0.010046
0.5,-0.013444
0.5083,0.019695
0.5167,-0.006422
0.525,0.022159
0.5333,0.008439
0.5417,0.024336
0.55,-0.005695
0.5583,0.004429
0.5667,0.01803
0.575,-0.020088
0.5833,-0.020851
0.5917,-0.021011
0.6,0.023482
0.6083,-0.020386
0.6167,0.015789
0.625,-0.015262
0.6333,-0.00696
0.6417,0.022126
0.65,-0.019243
0.6583,0.003037
0.6667,-0.002739
0.675,-0.014456
0.6833,-0.002707
0.6917,0.006397
0.7,-0.017318
0.7083,0.009692
0.7167,0.015027
0.725,0.002231
0.7333,0.032511
0.7417,0.061251
0.75,0.065518
0.7583,0.092494
0.7667,0.088151
0.775,0.064963
0.7833,0.053546
0.7917,0.001437
0.8,0.019597
0.8083,-0.015164
0.8167,-0.007411
0.825,-0.008331
0.8333,0.006142
0.8417,-0.009321
0.85,-0.143761
0.8583,0.003621
0.8667,0.595054
0.875,0.919602
0.8833,0.50441
0.8917,0.090937
0.9,0.022136
0.9083,-0.009437
0.9167,0.026765
0.925,0.011724
0.9333,-0.00369
0.9417,0.007074
0.95,-0.009009
0.9583,-0.007675
0.9667,0.029962
0.975,0.01835
0.9833,0.0396
0.9917,0.100421
1,0.093187
1.0083,0.116322
1.0167,0.178592
1.025,0.204307
1.0333,0.204466
1.0417,0.160328
1.05,0.164639
1.0583,0.105886
1.0667,0.09255
1.075,0.049617
1.0833,0.050772
1.0917,0.043482
1.1,0.004095
1.1083,0.015729
1.1167,0.032766
1.125,-0.020544
1.1333,0.029451
1.1417,0.013124
1.15,0.026562
1.1583,0.02212
1.1667,0.008953
1.175,0.012457
1.1833,-0.01052
1.1917,-0.018749
1.2,-0.005613
1.2083,-0.017797
1.2167,-0.020236
1.225,0.017093
1.2333,-0.007017
1.2417,-0.017125
1.25,0.021811
1.2583,0.007754
1.2667,-0.021336
1.275,0.001127
1.2833,0.007885
1.2917,-0.001036
1.3,0.018478
1.3083,-0.004542
1.3167,-0.017815
1.325,0.026326
1.3333,0.021239
1.3417,0.014926
1.35,-0.008343
1.3583,-0.01718
1.3667,-0.007815
1.375,0.04739
1.3833,0.040305
1.3917,0.049224
1.4,0.059043
1.4083,0.075555
1.4167,0.07728
1.425,0.048955
1.4333,0.063196
1.4417,0.025947
1.45,0.025618
1.4583,0.02403
1.4667,0.013546
1.475,0.005793
1.4833,0.020908
1.4917,0.015765
1.5,-0.101942
1.5083,-0.088363
1.5167,0.421533
1.525,0.893227
1.5333,0.661312
1.5417,0.1907
1.55,0.013683
1.5583,0.022767
1.5667,-0.00206
1.575,-0.016319
1.5833,0.002228
1.5917,0.026569
1.6,0.025864
1.6083,0.009293
1.6167,0.012605
1.625,0.045017
1.6333,0.061672
1.6417,0.054884
1.65,0.118925
1.6583,0.144887
1.6667,0.181887
1.675,0.203402
1.6833,0.190443
1.6917,0.184837
1.7,0.134716
1.7083,0.124865
1.7167,0.118024
1.725,0.062275
1.7333,0.073268
1.7417,0.035381
1.75,-0.002637
1.7583,-0.010495
1.7667,-0.003204
1.775,0.020472
1.7833,0.027162
1.7917,-0.014764
1.8,0.013717
1.8083,0.026044
1.8167,0.020822
1.825,-0.014082
1.8333,-0.010561
1.8417,0.030038
1.85,0.013857
1.8583,0.021008
1.8667,0.007746
1.875,-0.003779
1.8833,0.019028
1.8917,0.02626
1.9,-0.018152
1.9083,0.01319
1.9167,0.010007
1.925,-0.012801
1.9333,0.022499
1.9417,0.001788
1.95,-0.009279
1.9583,-0.00329
1.9667,0.028202
1.975,-0.005456
1.9833,-0.000769
1.9917,0.026294
2,0.020348
2.0083,0.005947
2.0167,-0.002248
2.025,0.038199
2.0333,0.028679
2.0417,0.064671
2.05,0.096846
2.0583,0.100046
2.0667,0.095761
2.075,0.057639
2.0833,0.057024
2.0917,0.047025
2.1,0.004275
2.1083,0.019313
2.1167,0.023504
2.125,0.016057
2.1333,-0.010011
2.1417,0.02554
2.15,-0.037867
2.1583,-0.146498
2.1667,0.268086
2.175,0.850131
2.1833,0.760505
2.1917,0.264855
2.2,0.017226
2.2083,0.009694
2.2167,0.015527
2.225,-0.008828
2.2333,-0.007681
2.2417,0.033416
2.25,0.017557
2.2583,0.020892
2.2667,0.024443
2.275,0.046431
2.2833,0.075802
2.2917,0.066313
2.3,0.113877
2.3083,0.148552
2.3167,0.176406
2.325,0.153823
2.3333,0.208828
2.3417,0.156839
2.35,0.141932
2.3583,0.163116
2.3667,0.122671
2.375,0.080976
2.3833,0.057881
2.3917,0.046477
2.4,0.051398
2.4083,-0.001851
2.4167,0.031447
2.425,0.003009
2.4333,0.008258
2.4417,0.012208
2.45,0.026038
2.4583,0.009169
2.4667,-0.012176
2.475,0.031985
2.4833,0.004825
2.4917,0.015118
2.5,-0.013185
2.5083,0.005951
2.5167,0.007243
2.525,0.012868
2.5333,0.019432
2.5417,0.005104
2.55,0.017588
2.5583,0.010652
2.5667,0.029188
2.575,-0.009797
2.5833,0.010578
2.5917,-0.014152
2.6,0.028962
2.6083,0.003994
2.6167,0.012836
2.625,0.008776
2.6333,0.015904
2.6417,0.002683
2.65,-0.000845
2.6583,0.027451
2.6667,0.005987
2.675,0.010059
2.6833,0.057655
2.6917,0.073468
2.7,0.056311
2.7083,0.10016
2.7167,0.081614
2.725,0.073684
2.7333,0.070472
2.7417,0.016616
2.75,0.028412
2.7583,0.016209
2.7667,0.013271
2.775,-0.013483
2.7833,-0.009756
2.7917,0.032322
2.8,-0.032619
2.8083,-0.159271
2.8167,0.112459
2.825,0.735199
2.8333,0.86142
2.8417,0.383482
2.85,0.087148
2.8583,-0.005849
2.8667,0.00253
2.875,0.022689
2.8833,-0.001333
2.8917,0.028387
2.9,0.018682
2.9083,0.00328
2.9167,0.021091
2.925,0.035438
2.9333,0.041036
2.9417,0.09036
2.95,0.111791
2.9583,0.101352
2.9667,0.168934
2.975,0.164704
2.9833,0.191474
2.9917,0.162271
3,0.151601
3.0083,0.158446
3.0167,0.104692
3.025,0.087332
3.0333,0.068313
3.0417,0.058206
3.05,0.048329
3.0583,0.002831
3.0667,0.035437
3.075,0.015085
3.0833,0.020281
3.0917,0.000229
3.1,0.005068
3.1083,0.0234
3.1167,-0.015778
3.125,0.011951
3.1333,0.013989
3.1417,0.000537
3.15,-0.00182
3.1583,0.021316
3.1667,0.012058
3.175,0.008082
3.1833,0.020648
3.1917,0.027714
3.2,0.019473
3.2083,0.025956
3.2167,-0.00506
3.225,0.033992
3.2333,0.029354
3.2417,0.019147
3.25,-0.008436
3.2583,0.016716
3.2667,0.022225
3.275,-0.016072
3.2833,0.006725
3.2917,-0.005303
3.3,0.004786
3.3083,-0.009908
3.3167,-0.006894
3.325,-0.003238
3.3333,0.024001
3.3417,0.045101
3.35,0.095699
3.3583,0.061361
3.3667,0.065114
3.375,0.078098
3.3833,0.055957
3.3917,0.028274
3.4,0.010311
3.4083,0.036217
3.4167,-0.00261
3.425,0.017907
3.4333,0.010747
3.4417,0.030322
3.45,-0.022025
3.4583,-0.144447
3.4667,-0.009064
3.475,0.620018
3.4833,0.936304
3.4917,0.509778
3.5,0.138298
3.5083,-0.001497
3.5167,0.025258
3.525,0.001109
3.5333,-0.013839
3.5417,0.017052
3.55,0.006817
3.5583,-0.003056
3.5667,-0.00322
3.575,0.049938
3.5833,0.036495
3.5917,0.061298
3.6,0.11226
3.6083,0.105271
3.6167,0.14332
3.625,0.168774
3.6333,0.187806
3.6417,0.211212
3.65,0.17287
3.6583,0.180652
3.6667,0.14764
3.675,0.122882
3.6833,0.05334
3.6917,0.077042
3.7,0.057882
3.7083,0.029062
3.7167,0.01856
3.725,0.030854
3.7333,0.033369
3.7417,-0.004871
3.75,0.016163
3.7583,0.016773
3.7667,0.027136
3.775,0.029534
3.7833,0.019893
3.7917,-0.001866
3.8,-0.001746
3.8083,0.026899
3.8167,0.011592
3.825,0.020642
3.8333,-0.011863
3.8417,-0.010696
3.85,0.000967
3.8583,0.013458
3.8667,0.007871
3.875,-0.013413
3.8833,0.016368
3.8917,0.010513
3.9,0.022563
3.9083,0.029062
3.9167,0.00465
3.925,-0.005002
3.9333,0.029003
3.9417,0.015095
3.95,0.021318
3.9583,-0.011085
3.9667,0.022459
3.975,0.035758
3.9833,0.055086
3.9917,0.051421
4,0.063537
4.0083,0.103984
4.0167,0.111584
4.025,0.075603
4.0333,0.065373
4.0417,0.028269
4.05,0.014861
4.0583,0.027564
