timeSec,value
0,-0.010524
0.0083,-0.009775
0.0167,-0.00662
0.025,-0.002128
0.0333,-0.016546
0.0417,0.004461
0.05,-0.011963
0.0583,0.007653
0.0667,-0.000524
0.075,0.028516
0.0833,0.034178
0.0917,0.053023
0.1,0.044871
0.1083,0.085663
0.1167,0.074046
0.125,0.08681
0.1333,0.091305
0.1417,0.061638
0.15,0.029943
0.1583,0.013722
0.1667,0.034409
0.175,0.018351
0.1833,0.011987
0.1917,-0.00452
0.2,-0.009101
0.2083,0.013475
0.2167,0.00343
0.225,-0.011887
0.2333,-0.146512
0.2417,-0.059355
0.25,0.432785
0.2583,0.85432
0.2667,0.819094
0.275,0.367263
0.2833,0.075219
0.2917,0.010651
0.3,-0.00716
0.3083,0.012884
0.3167,-0.017614
0.325,0.01964
0.3333,-0.01745
0.3417,-0.009288
0.35,-0.008773
0.3583,-0.00964
0.3667,0.001002
0.375,0.029081
0.3833,0.036544
0.3917,0.042184
0.4,0.096677
0.4083,0.101867
0.4167,0.129242
0.425,0.150366
0.4333,0.183297
0.4417,0.193276
0.45,0.162032
0.4583,0.153693
0.4667,0.153225
0.475,0.129905
0.4833,0.116238
0.4917,0.066905
0.5,0.069571
0.5083,0.060887
0.5167,0.03361
0.525,0.005614
0.5333,0.019042
0.5417,0.004074
0.55,0.004493
0.5583,0.011264
0.5667,0.009551
0.575,-0.013253
0.5833,-0.012417
0.5917,-0.007974
0.6,0.007617
0.6083,-0.014926
0.6167,-0.000556
0.625,0.001474
0.6333,-0.018511
0.6417,0.015865
0.65,-0.013375
0.6583,0.003688
0.6667,0.000256
0.675,-0.008765
0.6833,0.001267
0.6917,0.002238
0.7,0.016841
0.7083,-0.017897
0.7167,-0.011348
0.725,-0.006371
0.7333,-0.01134
0.7417,0.010278
0.75,-0.013888
0.7583,-0.011197
0.7667,0.006789
0.775,0.01379
0.7833,0.019093
0.7917,-0.012252
0.8,0.005804
0.8083,0.014821
0.8167,0.015524
0.825,-0.016446
0.8333,0.020884
0.8417,0.030029
0.85,0.013696
0.8583,0.03809
0.8667,0.035232
0.875,0.07729
0.8833,0.08272
0.8917,0.06269
0.9,0.095323
0.9083,0.047097
0.9167,0.045711
0.925,0.021011
0.9333,0.01771
0.9417,0.027761
0.95,0.026536
0.9583,0.003748
0.9667,0.022212
0.975,0.019937
0.9833,-0.006853
0.9917,-0.021289
1,-0.094556
1.0083,-0.140088
1.0167,0.247812
1.025,0.779927
1.0333,0.890342
1.0417,0.503185
1.05,0.157825
1.0583,0.00426
1.0667,-0.001599
1.075,-0.017102
1.0833,-0.017912
1.0917,-0.012824
1.1,0.003993
1.1083,0.001498
1.1167,-0.007845
1.125,-0.001826
1.1333,0.005639
1.1417,0.018542
1.15,0.027445
1.1583,0.055447
1.1667,0.058838
1.175,0.092996
