timeSec,value
0,-0.000495
0.0083,-0.03872
0.0167,0.037706
0.025,0.00472
0.0333,-0.010733
0.0417,-0.028916
0.05,0.022031
0.0583,0.031042
0.0667,0.016847
0.075,-0.024639
0.0833,0.016339
0.0917,0.045672
0.1,0.066326
0.1083,0.055732
0.1167,0.044715
0.125,0.055841
0.1333,0.052044
0.1417,0.069615
0.15,0.081168
0.1583,0.049783
0.1667,0.051158
0.175,0.015779
0.1833,0.017772
0.1917,-0.008426
0.2,-0.027702
0.2083,0.030665
0.2167,0.004118
0.225,-0.004097
0.2333,-0.009892
0.2417,-0.056334
0.25,-0.184125
0.2583,0.056996
0.2667,0.580098
0.275,0.943171
0.2833,0.731983
0.2917,0.266298
0.3,0.079942
0.3083,-0.031523
0.3167,-0.011169
0.325,-0.000678
0.3333,0.024303
0.3417,-0.025244
0.35,0.021997
0.3583,-0.023179
0.3667,-0.008968
0.375,0.047453
0.3833,0.013845
0.3917,-0.009225
0.4,0.051642
0.4083,0.020196
0.4167,0.029437
0.425,0.068244
0.4333,0.114623
0.4417,0.173657
0.45,0.128864
0.4583,0.194291
0.4667,0.15689
0.475,0.198503
0.4833,0.206418
0.4917,0.11741
0.5,0.140284
0.5083,0.11749
0.5167,0.101671
0.525,0.091286
0.5333,0.045398
0.5417,0.064415
0.55,0.015775
0.5583,0.030877
0.5667,-0.000237
0.575,0.018808
0.5833,0.040456
0.5917,0.032822
0.6,0.000735
0.6083,-0.011454
0.6167,-0.021209
0.625,-0.00047
0.6333,-0.023081
0.6417,0.018342
0.65,-0.014849
0.6583,-0.007158
0.6667,0.040207
0.675,0.017796
0.6833,-0.020277
0.6917,0.041665
0.7,-0.028423
0.7083,-0.031537
0.7167,-0.026249
0.725,0.042821
0.7333,-0.021231
0.7417,0.0222
0.75,0.008877
0.7583,0.028604
0.7667,0.025583
0.775,0.001054
0.7833,0.030694
0.7917,-0.028526
0.8,-0.001093
0.8083,-0.027641
0.8167,-0.004354
0.825,0.020053
0.8333,-0.015459
0.8417,-0.011013
0.85,-0.013898
0.8583,0.034288
0.8667,0.002114
0.875,0.013467
0.8833,0.005033
0.8917,0.033337
0.9,0.041747
0.9083,0.048553
0.9167,0.075633
0.925,0.092948
0.9333,0.097118
0.9417,0.062478
0.95,0.070687
0.9583,0.050483
0.9667,0.052831
0.975,0.017949
0.9833,0.049216
0.9917,-0.015636
1,0.036945
1.0083,0.036835
1.0167,-0.018182
1.025,-0.033601
1.0333,0.023261
1.0417,0.002693
1.05,-0.082261
1.0583,-0.188842
1.0667,-0.026892
1.075,0.471104
1.0833,0.840604
1.0917,0.818797
1.1,0.377138
1.1083,0.072286
1.1167,0.00391
1.125,0.044899
1.1333,0.037181
1.1417,-0.020695
1.15,-0.03368
1.1583,-0.017904
1.1667,0.02378
1.175,-0.017501
1.1833,-0.01434
1.1917,-0.009336
1.2,-0.001752
1.2083,0.028
1.2167,0.077832
1.225,0.073325
1.2333,0.118561
1.2417,0.128822
1.25,0.119292
1.2583,0.182613
1.2667,0.171852
1.275,0.174121
1.2833,0.153785
1.2917,0.162947
1.3,0.156162
1.3083,0.108437
1.3167,0.102642
1.325,0.114771
1.3333,0.089206
1.3417,0.083559
1.35,0.063078
1.3583,0.006674
1.3667,-0.005741
1.375,0.002204
1.3833,-0.019868
1.3917,-0.023319
1.4,-0.015746
1.4083,-0.013583
1.4167,0.024253
1.425,0.025338
1.4333,-0.019858
1.4417,-0.007175
1.45,0.008412
1.4583,-0.015533
1.4667,0.020238
1.475,0.029046
1.4833,0.044074
1.4917,-0.015414
1.5,0.025047
1.5083,-0.028632
1.5167,0.006997
1.525,0.013669
1.5333,0.042797
1.5417,-0.013767
1.55,-0.031398
1.5583,-0.01358
1.5667,0.018205
1.575,0.036635
1.5833,0.010507
1.5917,0.012252
1.6,0.006454
1.6083,0.005373
1.6167,0.007932
1.625,0.029008
1.6333,-0.027203
1.6417,0.028986
1.65,0.010989
1.6583,0.015726
1.6667,0.01773
1.675,-0.028677
1.6833,0.006413
1.6917,-0.003918
1.7,-0.0202
1.7083,0.024452
1.7167,0.00275
1.725,0.0875
1.7333,0.098332
1.7417,0.048186
1.75,0.081851
1.7583,0.092534
1.7667,0.074347
1.775,0.053837
1.7833,0.074107
1.7917,0.046286
1.8,0.041577
1.8083,-0.000806
1.8167,-0.008807
1.825,0.015672
1.8333,-0.027569
1.8417,0.027894
1.85,0.033103
1.8583,0.009546
1.8667,-0.151594
1.875,-0.13511
1.8833,0.295395
1.8917,0.808517
1.9,0.890078
1.9083,0.519593
1.9167,0.19366
1.925,0.05696
1.9333,-0.017739
1.9417,0.026753
1.95,0.001971
1.9583,0.010913
1.9667,-0.012148
1.975,0.038619
1.9833,0.018337
1.9917,0.000873
2,0.05711
2.0083,0.015446
2.0167,0.049195
2.025,0.081817
2.0333,0.062167
2.0417,0.078254
2.05,0.109248
2.0583,0.141747
2.0667,0.177553
2.075,0.196394
2.0833,0.188235
2.0917,0.195999
2.1,0.170758
2.1083,0.157709
2.1167,0.122594
2.125,0.094527
2.1333,0.098027
2.1417,0.047568
2.15,0.050938
2.1583,0.078917
2.1667,0.003941
2.175,0.036803
2.1833,0.046535
2.1917,0.031633
2.2,0.02101
2.2083,0.024167
2.2167,-0.024481
2.225,0.023161
2.2333,0.030214
2.2417,0.00731
2.25,0.00681
2.2583,-0.025939
2.2667,-0.008456
2.275,-0.001771
2.2833,-0.009161
2.2917,-0.004102
2.3,-0.008048
2.3083,0.04054
2.3167,0.032449
2.325,0.028965
2.3333,0.032096
2.3417,-0.023359
