timeSec,value
0,0.005015
0.0083,0.005527
0.0167,-0.009103
0.025,-0.000293
0.0333,-0.009535
0.0417,0.000236
0.05,-0.009058
0.0583,0.00482
0.0667,-0.005015
0.075,0.000779
0.0833,0.01513
0.0917,0.02312
0.1,0.022584
0.1083,0.047215
0.1167,0.050952
0.125,0.079508
0.1333,0.088986
0.1417,0.071685
0.15,0.069685
0.1583,0.064635
0.1667,0.053083
0.175,0.033779
0.1833,0.019999
0.1917,0.003987
0.2,0.014328
0.2083,-0.000334
0.2167,0.008736
0.225,0.002125
0.2333,0.010335
0.2417,-0.010579
0.25,-0.027288
0.2583,-0.129697
0.2667,-0.143547
0.275,0.191024
0.2833,0.686075
0.2917,0.912687
0.3,0.675635
0.3083,0.289076
0.3167,0.0673
0.325,0.010949
0.3333,0.002424
0.3417,0.000845
0.35,0.005941
0.3583,-0.002345
0.3667,-0.006366
0.375,-0.001494
0.3833,0.009329
0.3917,0.012989
0.4,0.00931
0.4083,0.023181
0.4167,0.02643
0.425,0.030309
0.4333,0.044584
0.4417,0.064348
0.45,0.08878
0.4583,0.123154
0.4667,0.137445
0.475,0.151121
0.4833,0.177839
0.4917,0.175821
0.5,0.17814
0.5083,0.176734
0.5167,0.169545
0.525,0.137243
0.5333,0.1164
0.5417,0.090032
0.55,0.069288
0.5583,0.065462
0.5667,0.047837
0.575,0.027347
0.5833,0.016199
0.5917,0.017807
0.6,0.01146
0.6083,0.009322
0.6167,0.006859
0.625,-0.001751
0.6333,-0.007185
0.6417,0.002467
0.65,-0.005217
0.6583,-0.004694
0.6667,-0.008246
0.675,0.008226
0.6833,-0.008661
0.6917,-0.005244
0.7,0.000884
0.7083,0.009776
0.7167,-0.007234
0.725,-0.006745
0.7333,0.004164
0.7417,0.008654
0.75,0.005115
0.7583,-0.000246
0.7667,-0.008564
0.775,-0.004585
0.7833,0.000985
0.7917,-0.006637
0.8,0.002504
0.8083,-0.007037
0.8167,0.010678
0.825,0.008473
0.8333,-0.00466
0.8417,0.00364
0.85,-0.004069
0.8583,0.010464
0.8667,0.005576
0.875,0.010661
0.8833,0.004588
0.8917,-0.004762
0.9,0.010398
0.9083,-0.004431
0.9167,-0.006701
0.925,-0.003562
0.9333,-0.001857
0.9417,0.022769
0.95,0.021352
0.9583,0.038984
0.9667,0.055311
0.975,0.063679
0.9833,0.068812
0.9917,0.083984
1,0.077387
1.0083,0.07804
1.0167,0.064534
1.025,0.036961
1.0333,0.038012
1.0417,0.028373
1.05,0.019101
1.0583,0.004862
1.0667,0.012082
1.075,0.000087
1.0833,-0.003689
1.0917,-0.00673
1.1,0.008459
1.1083,-0.030682
1.1167,-0.151814
1.125,-0.117188
1.1333,0.276945
1.1417,0.748791
1.15,0.904083
1.1583,0.612631
1.1667,0.249821
1.175,0.051625
1.1833,0.007442
1.1917,0.003956
1.2,0.008081
1.2083,0.007216
1.2167,0.003563
1.225,0.002769
1.2333,-0.002981
1.2417,0.001701
1.25,0.003344
1.2583,0.005925
1.2667,0.010446
1.275,0.034252
1.2833,0.045767
1.2917,0.05318
1.3,0.070557
1.3083,0.100385
1.3167,0.113599
1.325,0.140254
1.3333,0.163602
1.3417,0.171946
1.35,0.175058
1.3583,0.174467
1.3667,0.169385
1.375,0.162611
1.3833,0.143274
1.3917,0.125856
1.4,0.097433
1.4083,0.067627
1.4167,0.048188
1.425,0.031623
1.4333,0.019599
1.4417,0.025403
1.45,0.003768
1.4583,0.007489
1.4667,0.002205
1.475,0.007338
1.4833,-0.000647
1.4917,0.005224
1.5,0.006329
1.5083,-0.000911
1.5167,0.003445
1.525,0.004791
1.5333,0.008815
1.5417,-0.006439
1.55,0.007055
1.5583,0.010547
1.5667,0.002778
1.575,0.008085
1.5833,-0.000814
1.5917,0.010032
1.6,-0.001306
1.6083,0.002443
1.6167,0.001264
1.625,0.00106
1.6333,0.002794
1.6417,-0.001187
1.65,-0.007381
1.6583,-0.006681
1.6667,-0.000113
1.675,-0.003569
1.6833,0.000067
1.6917,0.01043
1.7,0.007482
1.7083,-0.000954
1.7167,0.003558
1.725,0.009262
1.7333,0.009877
1.7417,0.001002
1.75,0.001356
1.7583,0.005944
1.7667,0.001802
1.775,0.008715
1.7833,0.004608
1.7917,0.005763
1.8,0.013059
1.8083,0.034703
1.8167,0.030853
1.825,0.043619
1.8333,0.074678
1.8417,0.068185
1.85,0.077569
1.8583,0.080871
1.8667,0.077566
1.875,0.058794
1.8833,0.034498
1.8917,0.020807
1.9,0.019847
1.9083,0.001838
1.9167,0.007243
1.925,0.001702
1.9333,-0.000072
1.9417,0.001024
1.95,-0.007271
1.9583,0.00594
1.9667,-0.050062
