timeSec,value
0,0.084434
0.0125,0.138205
0.025,0.184483
0.0375,0.223023
0.05,0.255151
0.0625,0.276565
0.075,0.295779
0.0875,0.30368
0.1,0.30577
0.1125,0.307415
0.125,0.300902
0.1375,0.293233
0.15,0.29265
0.1625,0.293376
0.175,0.286986
0.1875,0.281034
0.2,0.288233
0.2125,0.295392
0.225,0.294028
0.2375,0.301604
0.25,0.297779
0.2625,0.300244
0.275,0.29277
0.2875,0.281371
0.3,0.260331
0.3125,0.239405
0.325,0.212922
0.3375,0.168657
0.35,0.119788
0.3625,0.070535
0.375,0.013241
0.3875,-0.048853
0.4,-0.11517
0.4125,-0.179502
0.425,-0.245767
0.4375,-0.298481
0.45,-0.35379
0.4625,-0.391121
0.475,-0.424737
0.4875,-0.44842
0.5,-0.466196
0.5125,-0.474165
0.525,-0.471156
0.5375,-0.451364
0.55,-0.420948
0.5625,-0.389592
0.575,-0.349867
0.5875,-0.307685
0.6,-0.268292
0.6125,-0.22733
0.625,-0.186847
0.6375,-0.152513
0.65,-0.121004
0.6625,-0.090771
0.675,-0.057988
0.6875,-0.031517
0.7,-0.015642
0.7125,0.006513
0.725,0.01878
0.7375,0.037423
0.75,0.052956
0.7625,0.071106
0.775,0.086188
0.7875,0.1051
0.8,0.130534
0.8125,0.159687
0.825,0.192465
0.8375,0.224182
0.85,0.261638
0.8625,0.294945
0.875,0.333171
0.8875,0.357457
0.9,0.380241
0.9125,0.39946
0.925,0.407274
0.9375,0.402604
0.95,0.392241
0.9625,0.368451
0.975,0.335627
0.9875,0.293237
1,0.246627
1.0125,0.191126
1.025,0.133294
1.0375,0.06486
1.05,-0.00273
1.0625,-0.070116
1.075,-0.125915
1.0875,-0.179529
1.1,-0.226282
1.1125,-0.269424
1.125,-0.30652
1.1375,-0.335193
1.15,-0.35932
1.1625,-0.368885
1.175,-0.378593
1.1875,-0.38029
1.2,-0.375545
1.2125,-0.364568
1.225,-0.349307
1.2375,-0.334089
1.25,-0.318873
1.2625,-0.309784
1.275,-0.295275
1.2875,-0.290732
1.3,-0.290416
1.3125,-0.290917
1.325,-0.282726
1.3375,-0.273114
1.35,-0.271201
1.3625,-0.256561
1.375,-0.248653
1.3875,-0.228703
1.4,-0.204664
1.4125,-0.17025
1.425,-0.139424
1.4375,-0.099395
1.45,-0.046625
1.4625,0.003445
1.475,0.060467
1.4875,0.12127
1.5,0.17503
1.5125,0.228342
1.525,0.288304
1.5375,0.335682
1.55,0.373696
1.5625,0.410518
1.575,0.432576
1.5875,0.440524
1.6,0.441721
1.6125,0.427555
1.625,0.413128
1.6375,0.384134
1.65,0.353572
1.6625,0.310013
1.675,0.26431
1.6875,0.217635
1.7,0.164481
1.7125,0.112611
1.725,0.064277
1.7375,0.027819
1.75,-0.004543
1.7625,-0.036035
1.775,-0.061342
1.7875,-0.088602
1.8,-0.110955
1.8125,-0.124089
1.825,-0.138959
1.8375,-0.146921
1.85,-0.165682
1.8625,-0.184459
1.875,-0.200578
1.8875,-0.216976
1.9,-0.235547
1.9125,-0.26526
1.925,-0.295033
1.9375,-0.321387
1.95,-0.348439
1.9625,-0.376766
1.975,-0.404326
1.9875,-0.419496
2,-0.426967
2.0125,-0.437965
2.025,-0.429421
2.0375,-0.413265
2.05,-0.397608
2.0625,-0.371496
2.075,-0.331148
2.0875,-0.285083
2.1,-0.233209
2.1125,-0.174772
2.125,-0.107717
2.1375,-0.040389
2.15,0.021094
2.1625,0.081326
2.175,0.140829
2.1875,0.192785
2.2,0.234888
2.2125,0.274205
2.225,0.302651
2.2375,0.322965
2.25,0.329378
2.2625,0.338553
2.275,0.33873
2.2875,0.334109
2.3,0.325123
2.3125,0.312183
2.325,0.297226
2.3375,0.2766
2.35,0.255612
2.3625,0.2365
2.375,0.221532
2.3875,0.206007
2.4,0.193097
2.4125,0.187998
2.425,0.17635
2.4375,0.170618
2.45,0.154296
2.4625,0.136477
2.475,0.121938
2.4875,0.096075
2.5,0.06458
2.5125,0.030352
2.525,-0.010234
2.5375,-0.058187
2.55,-0.102239
2.5625,-0.152914
2.575,-0.208352
2.5875,-0.260707
2.6,-0.307515
2.6125,-0.357795
2.625,-0.406788
2.6375,-0.442206
2.65,-0.475325
2.6625,-0.498078
2.675,-0.506423
2.6875,-0.500986
2.7,-0.486268
2.7125,-0.458132
2.725,-0.428214
2.7375,-0.384506
2.75,-0.339068
2.7625,-0.292291
2.775,-0.233729
2.7875,-0.177523
2.8,-0.128762
2.8125,-0.073327
2.825,-0.024597
2.8375,0.019141
2.85,0.055789
2.8625,0.083789
2.875,0.107113
2.8875,0.130696
2.9,0.142634
2.9125,0.154228
2.925,0.160418
2.9375,0.167092
2.95,0.177801
2.9625,0.190233
2.975,0.207849
2.9875,0.222141
3,0.239598
3.0125,0.256517
3.025,0.273503
3.0375,0.28766
3.05,0.311161
3.0625,0.325088
3.075,0.333971
3.0875,0.34798
3.1,0.348802
3.1125,0.343458
3.125,0.325454
3.1375,0.29756
3.15,0.269071
3.1625,0.231161
3.175,0.178741
3.1875,0.124955
3.2,0.063143
3.2125,-0.004694
3.225,-0.065449
3.2375,-0.136386
3.25,-0.199665
3.2625,-0.258632
3.275,-0.311497
3.2875,-0.353425
3.3,-0.393601
3.3125,-0.424416
3.325,-0.441748
3.3375,-0.454768
3.35,-0.453857
3.3625,-0.44749
3.375,-0.433013
3.3875,-0.408175
3.4,-0.383876
3.4125,-0.361315
3.425,-0.333741
3.4375,-0.308601
3.45,-0.276095
3.4625,-0.246044
3.475,-0.226563
3.4875,-0.207753
3.5,-0.192499
3.5125,-0.178617
3.525,-0.167253
3.5375,-0.154235
3.55,-0.135702
3.5625,-0.114601
3.575,-0.090442
3.5875,-0.06785
3.6,-0.033123
3.6125,0.004233
3.625,0.039599
3.6375,0.077485
3.65,0.121311
3.6625,0.173089
3.675,0.220212
3.6875,0.268102
3.7,0.309944
3.7125,0.350103
3.725,0.378815
3.7375,0.403576
3.75,0.419111
3.7625,0.431178
3.775,0.421414
3.7875,0.406053
3.8,0.375552
3.8125,0.337081
3.825,0.293176
3.8375,0.238247
3.85,0.178638
3.8625,0.120234
3.875,0.060358
3.8875,0.004508
3.9,-0.052526
3.9125,-0.10218
3.925,-0.145457
3.9375,-0.183597
3.95,-0.214153
3.9625,-0.235544
3.975,-0.256836
3.9875,-0.272911
4,-0.286233
4.0125,-0.29031
4.025,-0.300437
4.0375,-0.300868
4.05,-0.306842
4.0625,-0.307859
4.075,-0.318494
4.0875,-0.31976
4.1,-0.328106
4.1125,-0.342733
4.125,-0.35036
4.1375,-0.363295
4.15,-0.368609
4.1625,-0.37531
4.175,-0.382917
4.1875,-0.383224
4.2,-0.373352
