timeSec,value
0,0.068891
0.0125,0.123212
0.025,0.15657
0.0375,0.183919
0.05,0.183364
0.0625,0.185918
0.075,0.175288
0.0875,0.164613
0.1,0.159531
0.1125,0.163802
0.125,0.178605
0.1375,0.185193
0.15,0.192908
0.1625,0.200497
0.175,0.198951
0.1875,0.182015
0.2,0.145929
0.2125,0.103565
0.225,0.033504
0.2375,-0.043017
0.25,-0.11352
0.2625,-0.194437
0.275,-0.263154
0.2875,-0.308197
0.3,-0.335476
0.3125,-0.33963
0.325,-0.320412
0.3375,-0.301289
0.35,-0.271182
0.3625,-0.241235
0.375,-0.200105
0.3875,-0.170491
0.4,-0.149234
0.4125,-0.130822
0.425,-0.125478
0.4375,-0.117103
0.45,-0.103331
0.4625,-0.078825
0.475,-0.03819
0.4875,0.006553
0.5,0.067485
0.5125,0.137537
0.525,0.20374
0.5375,0.253942
0.55,0.302647
0.5625,0.331645
0.575,0.335776
0.5875,0.320865
0.6,0.282131
0.6125,0.220077
0.625,0.157361
0.6375,0.099814
0.65,0.049744
0.6625,0.006603
0.675,-0.023522
0.6875,-0.051844
0.7,-0.059142
0.7125,-0.076255
0.725,-0.086677
0.7375,-0.102965
0.75,-0.124608
0.7625,-0.147015
0.775,-0.174328
0.7875,-0.210725
0.8,-0.242406
0.8125,-0.26387
0.825,-0.286339
0.8375,-0.285226
0.85,-0.255232
0.8625,-0.204236
0.875,-0.151528
0.8875,-0.079294
0.9,-0.003005
0.9125,0.079438
0.925,0.140129
0.9375,0.189702
0.95,0.223386
0.9625,0.233433
0.975,0.23488
0.9875,0.228732
1,0.219634
1.0125,0.199294
1.025,0.183949
1.0375,0.172438
1.05,0.170387
1.0625,0.176603
1.075,0.175919
1.0875,0.181723
1.1,0.178004
1.1125,0.161461
1.125,0.124277
1.1375,0.067775
1.15,0.010752
1.1625,-0.059168
1.175,-0.127352
1.1875,-0.19502
1.2,-0.253482
1.2125,-0.295164
1.225,-0.309144
1.2375,-0.313543
1.25,-0.286519
1.2625,-0.254859
1.275,-0.21379
1.2875,-0.160136
1.3,-0.125512
1.3125,-0.086586
1.325,-0.053541
1.3375,-0.027821
1.35,-0.018868
1.3625,-0.00645
1.375,0.015607
1.3875,0.031526
1.4,0.059713
1.4125,0.103876
1.425,0.150585
1.4375,0.207248
1.45,0.261585
1.4625,0.300891
1.475,0.334473
1.4875,0.354582
1.5,0.340462
1.5125,0.306382
1.525,0.248999
1.5375,0.187043
1.55,0.112061
1.5625,0.042213
1.575,-0.023495
1.5875,-0.079147
1.6,-0.116419
1.6125,-0.149282
1.625,-0.169145
1.6375,-0.175801
1.65,-0.170791
1.6625,-0.175746
1.675,-0.175793
1.6875,-0.196386
1.7,-0.219519
1.7125,-0.245668
1.725,-0.265518
1.7375,-0.277577
1.75,-0.286705
1.7625,-0.27418
1.775,-0.242763
1.7875,-0.188464
1.8,-0.124284
1.8125,-0.057367
1.825,0.026599
1.8375,0.095484
1.85,0.16262
1.8625,0.205656
1.875,0.231307
1.8875,0.240728
1.9,0.242894
1.9125,0.229102
1.925,0.210032
1.9375,0.184092
1.95,0.152682
1.9625,0.134195
1.975,0.129595
1.9875,0.131648
2,0.130595
2.0125,0.128565
2.025,0.112381
2.0375,0.081231
2.05,0.042217
2.0625,-0.01661
2.075,-0.070712
2.0875,-0.133664
2.1,-0.200536
2.1125,-0.256298
2.125,-0.312259
2.1375,-0.346418
2.15,-0.357616
2.1625,-0.347581
2.175,-0.324287
2.1875,-0.275878
2.2,-0.222692
2.2125,-0.174515
2.225,-0.124396
2.2375,-0.081167
2.25,-0.044473
2.2625,-0.01739
2.275,0.0025
2.2875,0.015111
2.3,0.035794
2.3125,0.058203
2.325,0.08723
2.3375,0.120619
2.35,0.166895
2.3625,0.219811
2.375,0.26783
2.3875,0.30105
2.4,0.327082
2.4125,0.339069
2.425,0.313371
2.4375,0.269387
2.45,0.212509
2.4625,0.140137
2.475,0.068492
2.4875,-0.009081
2.5,-0.078923
2.5125,-0.139295
2.525,-0.176941
2.5375,-0.199779
2.55,-0.201074
2.5625,-0.203433
2.575,-0.200207
2.5875,-0.188007
2.6,-0.18149
2.6125,-0.17905
2.625,-0.194307
2.6375,-0.215753
2.65,-0.222899
2.6625,-0.240113
2.675,-0.244762
2.6875,-0.222718
2.7,-0.186751
2.7125,-0.12985
2.725,-0.058335
2.7375,0.023011
2.75,0.096424
2.7625,0.168643
2.775,0.221205
2.7875,0.260206
2.8,0.292385
2.8125,0.288866
