timeSec,value
0,0.126619
0.0125,0.198954
0.025,0.26481
0.0375,0.317603
0.05,0.345444
0.0625,0.369667
0.075,0.380268
0.0875,0.373244
0.1,0.35803
0.1125,0.336423
0.125,0.325657
0.1375,0.319239
0.15,0.304072
0.1625,0.292262
0.175,0.29069
0.1875,0.28374
0.2,0.278897
0.2125,0.269319
0.225,0.262069
0.2375,0.249819
0.25,0.227537
0.2625,0.191137
0.275,0.141633
0.2875,0.084873
0.3,0.011794
0.3125,-0.075107
0.325,-0.156074
0.3375,-0.243766
0.35,-0.333921
0.3625,-0.411326
0.375,-0.486026
0.3875,-0.540632
0.4,-0.572545
0.4125,-0.588303
0.425,-0.584782
0.4375,-0.553447
0.45,-0.509565
0.4625,-0.451345
0.475,-0.375014
0.4875,-0.29087
0.5,-0.209872
0.5125,-0.12246
0.525,-0.045969
0.5375,0.03216
0.55,0.096144
0.5625,0.144933
0.575,0.187202
0.5875,0.212892
0.6,0.226843
0.6125,0.23942
0.625,0.25176
0.6375,0.251676
0.65,0.253169
0.6625,0.258318
0.675,0.264788
0.6875,0.277716
0.7,0.292227
0.7125,0.315569
0.725,0.331631
0.7375,0.3479
0.75,0.359363
0.7625,0.364495
0.775,0.353474
0.7875,0.329226
0.8,0.287243
0.8125,0.230312
0.825,0.152425
0.8375,0.074762
0.85,-0.012777
0.8625,-0.116755
0.875,-0.210333
0.8875,-0.309533
0.9,-0.396437
0.9125,-0.471564
0.925,-0.534342
0.9375,-0.563833
0.95,-0.581455
0.9625,-0.576861
0.975,-0.547987
0.9875,-0.501756
1,-0.44531
1.0125,-0.375344
1.025,-0.304174
1.0375,-0.228562
1.05,-0.154466
1.0625,-0.092966
1.075,-0.034738
1.0875,0.008854
1.1,0.048997
1.1125,0.078326
1.125,0.095973
1.1375,0.117574
1.15,0.134941
1.1625,0.144744
1.175,0.163079
1.1875,0.190021
1.2,0.220247
1.2125,0.248043
1.225,0.288903
1.2375,0.322383
1.25,0.361323
1.2625,0.398234
1.275,0.431718
1.2875,0.455405
1.3,0.464627
1.3125,0.46022
1.325,0.435583
1.3375,0.384466
1.35,0.317018
1.3625,0.234459
1.375,0.138726
1.3875,0.035998
1.4,-0.074166
1.4125,-0.17844
1.425,-0.277351
1.4375,-0.360023
1.45,-0.432954
1.4625,-0.494102
1.475,-0.525533
1.4875,-0.543254
1.5,-0.545952
1.5125,-0.5287
1.525,-0.496782
1.5375,-0.453075
1.55,-0.3944
1.5625,-0.33615
1.575,-0.276994
1.5875,-0.224094
1.6,-0.178657
1.6125,-0.13515
1.625,-0.093832
1.6375,-0.070444
1.65,-0.042724
1.6625,-0.018147
1.675,-0.001096
1.6875,0.028022
1.7,0.060869
1.7125,0.095842
1.725,0.13538
1.7375,0.185884
1.75,0.235301
1.7625,0.296182
1.775,0.355377
1.7875,0.414172
1.8,0.471125
1.8125,0.517626
1.825,0.540478
1.8375,0.549214
1.85,0.5475
1.8625,0.522823
1.875,0.473549
1.8875,0.408574
1.9,0.328331
1.9125,0.242538
1.925,0.140864
1.9375,0.033515
1.95,-0.07485
1.9625,-0.172498
1.975,-0.256666
1.9875,-0.320242
2,-0.374062
2.0125,-0.407289
2.025,-0.426923
2.0375,-0.435681
2.05,-0.41913
2.0625,-0.396038
2.075,-0.360305
2.0875,-0.323585
2.1,-0.286204
2.1125,-0.253802
2.125,-0.229805
2.1375,-0.202979
2.15,-0.181803
2.1625,-0.163036
2.175,-0.147897
2.1875,-0.139066
2.2,-0.120017
2.2125,-0.096647
2.225,-0.064996
2.2375,-0.020742
2.25,0.020823
2.2625,0.071609
2.275,0.138578
2.2875,0.2174
2.3,0.287183
2.3125,0.364096
2.325,0.429706
2.3375,0.489806
2.35,0.540047
2.3625,0.571896
2.375,0.581777
2.3875,0.570285
2.4,0.544667
2.4125,0.499643
2.425,0.434818
2.4375,0.355512
2.45,0.257889
2.4625,0.159808
2.475,0.06202
2.4875,-0.036916
2.5,-0.120884
2.5125,-0.198951
2.525,-0.261262
2.5375,-0.312296
2.55,-0.347065
2.5625,-0.359902
2.575,-0.360852
2.5875,-0.357902
2.6,-0.345501
2.6125,-0.325984
2.625,-0.305258
2.6375,-0.293473
2.65,-0.28844
2.6625,-0.278819
2.675,-0.272164
2.6875,-0.265934
2.7,-0.269309
2.7125,-0.268087
2.725,-0.258645
2.7375,-0.242828
2.75,-0.221708
2.7625,-0.188816
2.775,-0.139004
2.7875,-0.076296
2.8,0.000254
2.8125,0.087911
2.825,0.17076
2.8375,0.258753
2.85,0.347668
2.8625,0.426608
2.875,0.490367
2.8875,0.537761
2.9,0.570066
2.9125,0.580332
2.925,0.575279
2.9375,0.543436
2.95,0.494833
2.9625,0.438697
2.975,0.367227
2.9875,0.282356
3,0.19578
3.0125,0.102473
3.025,0.025769
3.0375,-0.046927
3.05,-0.113321
3.0625,-0.17078
3.075,-0.213956
3.0875,-0.236445
3.1,-0.253161
3.1125,-0.260412
3.125,-0.272464
3.1375,-0.272335
3.15,-0.273902
3.1625,-0.285777
3.175,-0.293538
3.1875,-0.303835
3.2,-0.32669
3.2125,-0.34095
3.225,-0.353699
3.2375,-0.362987
3.25,-0.370911
3.2625,-0.375751
3.275,-0.360186
3.2875,-0.335398
3.3,-0.296186
3.3125,-0.233057
3.325,-0.15602
3.3375,-0.07697
3.35,0.01413
3.3625,0.112806
3.375,0.206302
3.3875,0.299297
3.4,0.388091
3.4125,0.463429
3.425,0.513709
3.4375,0.558034
3.45,0.571013
3.4625,0.56854
3.475,0.549205
3.4875,0.506348
3.5,0.457185
3.5125,0.394027
3.525,0.320795
3.5375,0.251961
3.55,0.184772
3.5625,0.121962
3.575,0.059911
3.5875,0.016407
3.6,-0.031765
3.6125,-0.063664
3.625,-0.088905
3.6375,-0.102349
3.65,-0.113243
3.6625,-0.12919
3.675,-0.143469
3.6875,-0.168607
3.7,-0.195366
3.7125,-0.224109
3.725,-0.259031
3.7375,-0.294003
3.75,-0.332156
3.7625,-0.367981
3.775,-0.393706
3.7875,-0.413706
3.8,-0.415969
3.8125,-0.40398
3.825,-0.373979
3.8375,-0.328469
3.85,-0.271781
3.8625,-0.194115
3.875,-0.099828
3.8875,-0.005305
3.9,0.089538
3.9125,0.196124
3.925,0.289458
3.9375,0.374292
3.95,0.441009
3.9625,0.500904
3.975,0.535703
3.9875,0.554932
4,0.55568
4.0125,0.535027
4.025,0.498422
4.0375,0.457966
4.05,0.413365
4.0625,0.362903
4.075,0.300773
4.0875,0.254373
4.1,0.204158
4.1125,0.160621
4.125,0.130139
4.1375,0.095633
4.15,0.067567
4.1625,0.038785
4.175,0.014464
4.1875,-0.008449
4.2,-0.038352
4.2125,-0.065028
4.225,-0.110993
4.2375,-0.152231
4.25,-0.211772
4.2625,-0.274618
4.275,-0.336508
4.2875,-0.396774
4.3,-0.453464
4.3125,-0.493853
4.325,-0.525963
4.3375,-0.540266
4.35,-0.52412
4.3625,-0.498974
4.375,-0.450307
4.3875,-0.386813
4.4,-0.312689
4.4125,-0.21223
4.425,-0.116066
4.4375,-0.013584
4.45,0.090967
4.4625,0.184913
4.475,0.267818
4.4875,0.331629
4.5,0.377371
4.5125,0.414802
4.525,0.437847
4.5375,0.444172
4.55,0.434885
4.5625,0.415503
4.575,0.380509
4.5875,0.344813
4.6,0.302006
4.6125,0.261208
4.625,0.23062
4.6375,0.200549
4.65,0.186154
