timeSec,value
0,0.065807
0.0125,0.117529
0.025,0.158198
0.0375,0.179076
0.05,0.181895
0.0625,0.173205
0.075,0.166463
0.0875,0.156038
0.1,0.153373
0.1125,0.150424
0.125,0.157064
0.1375,0.160712
0.15,0.148949
0.1625,0.128593
0.175,0.094276
0.1875,0.039318
0.2,-0.02632
0.2125,-0.096307
0.225,-0.166346
0.2375,-0.223661
0.25,-0.260896
0.2625,-0.270435
0.275,-0.257711
0.2875,-0.223565
0.3,-0.173265
0.3125,-0.109785
0.325,-0.0471
0.3375,0.004741
0.35,0.046181
0.3625,0.073194
0.375,0.090127
0.3875,0.098137
0.4,0.108384
0.4125,0.120798
0.425,0.139831
0.4375,0.165027
0.45,0.190971
0.4625,0.210276
0.475,0.22134
0.4875,0.216957
0.5,0.195756
0.5125,0.154373
0.525,0.09325
0.5375,0.02014
0.55,-0.061785
0.5625,-0.132823
0.575,-0.193014
0.5875,-0.231595
0.6,-0.249628
0.6125,-0.243723
0.625,-0.213167
0.6375,-0.174978
0.65,-0.131689
0.6625,-0.08836
0.675,-0.05736
0.6875,-0.031414
0.7,-0.015058
0.7125,-0.004075
0.725,0.014014
0.7375,0.036276
0.75,0.068336
0.7625,0.108071
0.775,0.160588
0.7875,0.209877
0.8,0.248039
0.8125,0.275656
0.825,0.277889
0.8375,0.2569
0.85,0.21045
0.8625,0.149003
0.875,0.073654
0.8875,-0.006175
0.9,-0.079136
0.9125,-0.133024
0.925,-0.173301
0.9375,-0.189337
0.95,-0.186593
0.9625,-0.174129
0.975,-0.158378
0.9875,-0.137247
1,-0.122469
1.0125,-0.116428
1.025,-0.112413
1.0375,-0.111804
1.05,-0.104361
1.0625,-0.082212
1.075,-0.046729
1.0875,0.007151
1.1,0.074531
1.1125,0.139401
1.125,0.201382
1.1375,0.258921
1.15,0.288667
1.1625,0.30076
1.175,0.283871
1.1875,0.245103
1.2,0.184703
1.2125,0.119423
1.225,0.051045
1.2375,-0.007024
1.25,-0.055097
1.2625,-0.088942
1.275,-0.10443
1.2875,-0.114087
1.3,-0.121298
1.3125,-0.127062
1.325,-0.140632
1.3375,-0.153477
1.35,-0.173233
1.3625,-0.193541
1.375,-0.201389
1.3875,-0.198512
1.4,-0.175166
1.4125,-0.133449
1.425,-0.073099
1.4375,0.001912
1.45,0.082542
1.4625,0.152384
1.475,0.20727
1.4875,0.24394
1.5,0.252902
1.5125,0.239751
1.525,0.210572
1.5375,0.162208
1.55,0.117488
1.5625,0.070669
1.575,0.030102
1.5875,0.003525
1.6,-0.019708
1.6125,-0.036034
1.625,-0.052806
1.6375,-0.075969
1.65,-0.106597
1.6625,-0.1472
1.675,-0.19012
1.6875,-0.2348
1.7,-0.27414
1.7125,-0.292777
1.725,-0.288558
1.7375,-0.266927
1.75,-0.218375
1.7625,-0.155028
1.775,-0.071516
1.7875,0.010723
1.8,0.08573
1.8125,0.146225
1.825,0.180009
1.8375,0.195766
1.85,0.191869
1.8625,0.172305
1.875,0.148988
1.8875,0.12578
1.9,0.102658
1.9125,0.086582
1.925,0.079606
1.9375,0.068982
1.95,0.053811
1.9625,0.035715
1.975,-0.002701
1.9875,-0.046408
2,-0.10084
2.0125,-0.164176
2.025,-0.22063
2.0375,-0.27206
2.05,-0.29729
2.0625,-0.301417
2.075,-0.278831
2.0875,-0.234641
2.1,-0.169629
2.1125,-0.098702
2.125,-0.02575
2.1375,0.037374
2.15,0.081861
2.1625,0.112902
2.175,0.127782
2.1875,0.129041
2.2,0.127782
2.2125,0.127184
2.225,0.12773
2.2375,0.138746
2.25,0.154935
2.2625,0.170379
2.275,0.17333
2.2875,0.161802
2.3,0.135718
2.3125,0.093283
2.325,0.034925
2.3375,-0.035122
2.35,-0.115548
2.3625,-0.18279
2.375,-0.241415
2.3875,-0.274529
