timeSec,value
0,0.042383
0.0125,0.061303
0.025,0.076325
0.0375,0.092109
0.05,0.104628
0.0625,0.114433
0.075,0.119955
0.0875,0.126905
0.1,0.132279
0.1125,0.136384
0.125,0.136451
0.1375,0.137968
0.15,0.139431
0.1625,0.137368
0.175,0.134002
0.1875,0.136333
0.2,0.135542
0.2125,0.135912
0.225,0.137747
0.2375,0.141262
0.25,0.14559
0.2625,0.152031
0.275,0.157333
0.2875,0.163748
0.3,0.168832
0.3125,0.172069
0.325,0.178011
0.3375,0.181465
0.35,0.188033
0.3625,0.190096
0.375,0.189978
0.3875,0.189278
0.4,0.185968
0.4125,0.182168
0.425,0.177997
0.4375,0.169164
0.45,0.161479
0.4625,0.151449
0.475,0.137869
0.4875,0.118802
0.5,0.101275
0.5125,0.079274
0.525,0.055816
0.5375,0.030657
0.55,0.007134
0.5625,-0.017332
0.575,-0.041322
0.5875,-0.063841
0.6,-0.084263
0.6125,-0.10288
0.625,-0.118193
0.6375,-0.132429
0.65,-0.147589
0.6625,-0.160865
0.675,-0.171816
0.6875,-0.175881
0.7,-0.18326
0.7125,-0.186402
0.725,-0.18503
0.7375,-0.18256
0.75,-0.181045
0.7625,-0.176723
0.775,-0.170183
0.7875,-0.167321
0.8,-0.164296
0.8125,-0.157477
0.825,-0.153729
0.8375,-0.150575
0.85,-0.145648
0.8625,-0.141368
0.875,-0.142192
0.8875,-0.138757
0.9,-0.141118
0.9125,-0.141804
0.925,-0.143386
0.9375,-0.142806
0.95,-0.143092
0.9625,-0.144032
0.975,-0.143695
0.9875,-0.142142
1,-0.13921
1.0125,-0.135665
1.025,-0.131104
1.0375,-0.123337
1.05,-0.116167
1.0625,-0.105634
1.075,-0.095477
1.0875,-0.083061
1.1,-0.065501
1.1125,-0.047531
1.125,-0.028923
1.1375,-0.006806
1.15,0.016675
1.1625,0.038064
1.175,0.057323
1.1875,0.080008
1.2,0.103275
1.2125,0.121867
1.225,0.137864
1.2375,0.157086
1.25,0.170861
1.2625,0.182973
1.275,0.193007
1.2875,0.203627
1.3,0.205949
1.3125,0.207998
1.325,0.207458
1.3375,0.208447
1.35,0.20335
1.3625,0.199094
1.375,0.193089
1.3875,0.185182
1.4,0.174989
1.4125,0.165456
1.425,0.156217
1.4375,0.148641
1.45,0.14151
1.4625,0.129594
1.475,0.12278
1.4875,0.115257
1.5,0.109857
1.5125,0.103422
1.525,0.097511
1.5375,0.094277
1.55,0.08862
1.5625,0.08341
1.575,0.079625
1.5875,0.07894
1.6,0.075015
1.6125,0.071504
1.625,0.066332
1.6375,0.061507
1.65,0.054816
1.6625,0.047588
1.675,0.041063
1.6875,0.032824
1.7,0.019387
1.7125,0.007781
1.725,-0.009395
1.7375,-0.02804
1.75,-0.048124
1.7625,-0.065127
1.775,-0.086282
1.7875,-0.107853
1.8,-0.126303
1.8125,-0.142799
1.825,-0.161895
1.8375,-0.177527
1.85,-0.190471
1.8625,-0.202682
1.875,-0.210792
1.8875,-0.221258
1.9,-0.227489
1.9125,-0.22835
1.925,-0.231537
1.9375,-0.230968
1.95,-0.224267
1.9625,-0.217166
1.975,-0.206735
1.9875,-0.198444
2,-0.187329
2.0125,-0.17434
2.025,-0.157445
2.0375,-0.143185
2.05,-0.127076
2.0625,-0.109382
