timeSec,value
0,-0.003351
0.25,0.011062
0.5,0.003497
0.75,0.002661
1,-0.002525
1.25,0.021066
1.5,0.022092
1.75,-0.008308
2,0.001373
2.25,0.013094
2.5,0.017777
2.75,0.013515
3,-0.010295
3.25,-0.001616
3.5,0.026736
3.75,0.006423
4,0.027953
4.25,-0.005129
4.5,0.02486
4.75,-0.007388
5,0.017095
5.25,-0.008743
5.5,0.015771
5.75,-0.004663
6,0.006656
6.25,-0.002532
6.5,0.001785
6.75,0.015174
7,0.029102
7.25,0.010811
7.5,-0.00265
7.75,0.014524
8,0.01138
8.25,-0.001128
8.5,0.030866
8.75,0.005872
9,0.035345
9.25,0.021282
9.5,0.026656
9.75,0.031475
10,0.03666
10.25,0.019667
10.5,0.039578
10.75,0.024717
11,0.024886
11.25,0.018161
11.5,0.033717
11.75,0.032491
12,0.021525
12.25,0.030689
12.5,0.036984
12.75,0.007004
13,0.007146
13.25,0.026736
13.5,0.202948
13.75,0.217533
14,0.204244
14.25,0.213991
14.5,0.210766
14.75,0.224931
15,0.220871
15.25,0.191525
15.5,0.222294
15.75,0.194567
16,0.206737
16.25,0.222453
16.5,0.230503
16.75,0.221685
17,0.1957
17.25,0.222106
17.5,0.199969
17.75,0.205613
18,0.211532
18.25,0.217891
18.5,0.213277
18.75,0.231869
19,0.234745
19.25,0.222518
19.5,0.202742
19.75,0.206762
20,0.234712
20.25,0.215209
20.5,0.220175
20.75,0.217995
21,0.231779
21.25,0.223547
21.5,0.234132
21.75,0.242537
22,0.20568
22.25,0.240718
22.5,0.206133
22.75,0.226635
23,0.235069
23.25,0.22138
23.5,0.232483
23.75,0.242217
