timeSec,value
0,0.01039
0.25,0.00446
0.5,0.027665
0.75,0.008312
1,0.00971
1.25,0.026901
1.5,0.020586
1.75,0.012089
2,0.005079
2.25,-0.000034
2.5,0.043885
2.75,0.062237
3,0.012445
3.25,0.052417
3.5,0.041919
3.75,0.042434
4,0.057392
4.25,0.062485
4.5,0.081037
4.75,0.051722
5,0.035554
5.25,0.081965
5.5,0.043583
5.75,0.096336
6,0.085869
6.25,0.083871
6.5,0.101111
6.75,0.053792
7,0.063477
7.25,0.093225
7.5,0.112211
7.75,0.073442
8,0.983683
8.25,0.984103
8.5,1.024058
8.75,1.010403
9,0.99102
9.25,1.016049
9.5,1.020045
9.75,1.034184
10,1.04487
10.25,1.038477
10.5,1.026714
10.75,1.027969
11,1.022244
11.25,1.055665
11.5,1.060296
11.75,1.050879
12,1.037341
12.25,1.065327
12.5,1.021709
12.75,1.072972
13,1.063169
13.25,1.073002
13.5,1.077508
13.75,1.042727
14,1.079033
14.25,1.091382
14.5,1.086993
14.75,1.082003
15,1.097432
15.25,1.108488
15.5,1.070067
15.75,1.084966
16,1.110161
16.25,1.070179
16.5,1.125401
16.75,1.09347
17,1.097155
17.25,1.082014
17.5,1.122901
17.75,1.098851
18,1.130198
18.25,1.12731
18.5,1.116147
18.75,1.126312
19,1.130434
19.25,1.112104
19.5,1.106279
19.75,1.117922
20,1.115666
20.25,1.114092
20.5,1.134149
20.75,1.127333
21,1.173409
21.25,1.168381
21.5,1.149775
21.75,1.154905
22,1.143156
22.25,1.173104
22.5,1.185464
22.75,1.172593
23,1.151168
23.25,1.191878
23.5,1.180012
23.75,1.211952
