timeSec,value
0,0.021505
0.25,-0.011768
0.5,-0.007743
0.75,0.001374
1,0.00504
1.25,0.014916
1.5,-0.005787
1.75,-0.018627
2,-0.003629
2.25,0.002282
2.5,-0.008335
2.75,-0.023357
3,-0.016511
3.25,-0.013147
3.5,-0.034333
3.75,-0.027855
4,-0.000679
4.25,0.000283
4.5,0.006081
4.75,-0.03685
5,0.004552
5.25,-0.030271
5.5,-0.024739
5.75,0.001829
6,-0.001835
6.25,-0.01284
6.5,-0.043852
6.75,-0.02723
7,-0.010286
7.25,-0.014024
7.5,-0.010829
7.75,-0.01719
8,-0.025682
8.25,-0.01605
8.5,-0.038365
8.75,-0.051839
9,-0.031031
9.25,-0.01677
9.5,-0.04228
9.75,-0.055593
10,-0.037467
10.25,-0.029661
10.5,-0.04152
10.75,-0.04349
11,-0.034248
11.25,-0.033823
11.5,-0.058155
11.75,-0.071193
12,-0.038755
12.25,-0.051801
12.5,-0.067892
12.75,-0.030035
13,-0.052762
13.25,-0.039169
13.5,-0.063132
13.75,-0.036923
14,-0.062462
14.25,-0.074622
14.5,-0.041994
14.75,-0.056961
15,0.514797
15.25,0.482609
15.5,0.464616
15.75,0.465857
16,0.480837
16.25,0.493262
16.5,0.477201
16.75,0.493466
17,0.468439
17.25,0.494199
17.5,0.46707
17.75,0.479508
18,0.464064
18.25,0.501045
18.5,0.456568
18.75,0.49869
19,0.488487
19.25,0.49407
19.5,0.49218
19.75,0.46269
20,0.44838
20.25,0.464731
20.5,0.476719
20.75,0.489112
21,0.473445
21.25,0.455218
21.5,0.473684
21.75,0.466038
22,0.473402
22.25,0.480298
22.5,0.455204
22.75,0.458192
23,0.461364
23.25,0.463721
23.5,0.449292
23.75,0.46079
