timeSec,value
0,-0.012519
0.25,-0.013703
0.5,0.025367
0.75,-0.001296
1,0.033582
1.25,0.010399
1.5,0.020605
1.75,0.035899
2,0.043114
2.25,0.024479
2.5,0.053323
2.75,0.041499
3,0.052079
3.25,0.040985
3.5,0.056369
3.75,0.079161
4,0.055611
4.25,0.072932
4.5,0.065638
4.75,0.079003
5,0.099635
5.25,0.105137
5.5,0.107825
5.75,0.08953
6,0.568463
6.25,0.576449
6.5,0.554651
6.75,0.575375
7,0.585957
7.25,0.570455
7.5,0.570758
7.75,0.595974
8,0.602332
8.25,0.610573
8.5,0.618705
8.75,0.620215
9,0.60624
9.25,0.629908
9.5,0.616987
9.75,0.614171
10,0.629771
10.25,0.616254
10.5,0.645038
10.75,0.623851
11,0.643042
11.25,0.666585
11.5,0.667368
11.75,0.679294
12,0.684546
12.25,0.661912
12.5,0.664256
12.75,0.695859
13,0.684858
13.25,0.691322
13.5,0.710593
13.75,0.709291
14,0.692987
14.25,0.694835
14.5,0.698508
14.75,0.711639
15,0.712471
15.25,0.727782
15.5,0.729194
15.75,0.722769
16,0.738406
16.25,0.725809
16.5,0.737903
16.75,0.733101
17,0.751058
17.25,0.746179
17.5,0.782899
17.75,0.774491
18,0.755482
18.25,0.760764
18.5,0.777357
18.75,0.768335
19,0.789013
19.25,0.790544
19.5,0.820533
19.75,0.808866
20,0.810674
20.25,0.828059
20.5,0.811137
20.75,0.829156
21,0.839661
21.25,0.83695
21.5,0.823891
21.75,0.849909
22,0.86171
22.25,0.862047
22.5,0.845606
22.75,0.839799
23,0.862054
23.25,0.869425
23.5,0.880039
23.75,0.867013
