timeSec,value
0,-0.004483
0.25,0.024668
0.5,-0.004843
0.75,0.023582
1,-0.029499
1.25,-0.014886
1.5,0.031119
1.75,-0.013085
2,0.012524
2.25,-0.030008
2.5,-0.035151
2.75,-0.021407
3,0.008072
3.25,-0.024935
3.5,-0.019508
3.75,0.043196
4,0.002299
4.25,-0.003493
4.5,-0.02821
4.75,0.008035
5,-0.009497
5.25,-0.019143
5.5,0.00961
5.75,-0.008462
6,0.041175
6.25,-0.028556
6.5,-0.015368
6.75,0.004331
7,0.00772
7.25,-0.001679
7.5,0.026832
7.75,0.016887
8,0.043507
8.25,-0.021672
8.5,0.036655
8.75,-0.004007
9,0.046384
9.25,0.026592
9.5,0.038973
9.75,0.019567
10,-0.321252
10.25,-0.348528
10.5,-0.355042
10.75,-0.374656
11,-0.316353
11.25,-0.319429
11.5,-0.366287
11.75,-0.36726
12,-0.347146
12.25,-0.322608
12.5,-0.348619
12.75,-0.361001
13,-0.353184
13.25,-0.342809
13.5,-0.311292
13.75,-0.316997
14,-0.330111
14.25,-0.374875
14.5,-0.332277
14.75,-0.302787
15,-0.316347
15.25,-0.329614
15.5,-0.325457
15.75,-0.30879
16,-0.358068
16.25,-0.357073
16.5,-0.320781
16.75,-0.354032
17,-0.346761
17.25,-0.31455
17.5,-0.358234
17.75,-0.301324
18,-0.36899
18.25,-0.35736
18.5,-0.371387
18.75,-0.361269
19,-0.367586
19.25,-0.335472
19.5,-0.315858
19.75,-0.316618
20,-0.332043
20.25,-0.334344
20.5,-0.312146
20.75,-0.323887
21,-0.314746
21.25,-0.292406
21.5,-0.295086
21.75,-0.316513
22,-0.298801
22.25,-0.365396
22.5,-0.302542
22.75,-0.333456
23,-0.360418
23.25,-0.322957
23.5,-0.34506
23.75,-0.333592
